date,cam,count
2017-07-07,715,243
2017-07-07,716,1716
2017-07-07,717,2595
2017-07-07,722,4232
2017-07-07,725,294
2017-07-07,789,3048
2017-07-07,790,746
2017-07-07,791,847
2017-07-07,794,1597
2017-07-07,827,1646
2017-07-07,828,1522
2017-07-07,838,3381
2017-07-07,845,1725
2017-07-07,846,2541
2017-07-07,869,1796
2017-07-07,891,4536
2017-07-07,893,136
2017-07-07,899,10455
2017-07-07,928,879
2017-07-07,985,2996
2017-07-07,988,1082
2017-07-07,1028,1954
2017-07-08,163,4624
2017-07-08,165,1084
2017-07-08,166,363
2017-07-08,168,4817
2017-07-08,169,5277
2017-07-08,170,6335
2017-07-08,171,3636
2017-07-08,172,1514
2017-07-08,173,2435
2017-07-08,176,897
2017-07-08,179,4566
2017-07-08,180,5152
2017-07-08,181,6558
2017-07-08,182,388
2017-07-08,187,3488
2017-07-08,192,2367
2017-07-08,211,247
2017-07-08,253,511
2017-07-08,287,1110
2017-07-08,292,396
2017-07-08,326,1177
2017-07-08,330,1323
2017-07-08,338,1392
2017-07-08,339,1058
2017-07-08,347,3498
2017-07-08,351,3711
2017-07-08,361,1663
2017-07-08,398,2807
2017-07-08,399,714
2017-07-08,400,1057
2017-07-08,403,2306
2017-07-08,404,2265
2017-07-08,406,1820
2017-07-08,407,1266
2017-07-08,409,3739
2017-07-08,410,325
2017-07-08,412,0
2017-07-08,413,2090
2017-07-08,414,2293
2017-07-08,415,2630
2017-07-08,416,1741
2017-07-08,419,0
2017-07-08,420,10866
2017-07-08,421,3521
2017-07-08,426,613
2017-07-08,427,1416
2017-07-08,430,1329
2017-07-08,432,1120
2017-07-08,433,2012
2017-07-08,445,2342
2017-07-08,446,9
2017-07-08,452,3252
2017-07-08,459,2243
2017-07-08,472,1017
2017-07-08,473,1712
2017-07-08,474,462
2017-07-08,475,7826
2017-07-08,489,3623
2017-07-08,495,2702
2017-07-08,500,4888
2017-07-08,501,3889
2017-07-08,502,1414
2017-07-08,503,3975
2017-07-08,504,4052
2017-07-08,506,4569
2017-07-08,507,1065
2017-07-08,508,2767
2017-07-08,509,3757
2017-07-08,510,2661
2017-07-08,511,1445
2017-07-08,517,1597
2017-07-08,519,2341
2017-07-08,523,6905
2017-07-08,528,2751
2017-07-08,531,2075
2017-07-08,535,8208
2017-07-08,542,3401
2017-07-08,544,1300
2017-07-08,545,1561
2017-07-08,547,255
2017-07-08,548,1141
2017-07-08,550,772
2017-07-08,551,1322
2017-07-08,552,1447
2017-07-08,715,291
2017-07-08,716,501
2017-07-08,717,3318
2017-07-08,722,4777
2017-07-08,725,236
2017-07-08,789,3722
2017-07-08,790,816
2017-07-08,791,1103
2017-07-08,794,1880
2017-07-08,827,1638
2017-07-08,828,1119
2017-07-08,838,4099
2017-07-08,845,2218
2017-07-08,846,2970
2017-07-08,869,2204
2017-07-08,891,4956
2017-07-08,893,170
2017-07-08,899,13362
2017-07-08,928,1014
2017-07-08,985,3638
2017-07-08,988,1101
2017-07-08,1028,2505
2017-07-09,163,3866
2017-07-09,165,1138
2017-07-09,166,326
2017-07-09,168,4383
2017-07-09,169,4120
2017-07-09,170,5635
2017-07-09,171,3005
2017-07-09,172,1118
2017-07-09,173,2298
2017-07-09,176,724
2017-07-09,179,4126
2017-07-09,180,5240
2017-07-09,181,8047
2017-07-09,182,378
2017-07-09,187,1863
2017-07-09,192,2248
2017-07-09,211,199
2017-07-09,253,623
2017-07-09,287,928
